hostname,ip,owner,department,criticality,has_edr,segment
WEB-SUPPLIER,10.20.0.11,a.mizrahi,IT-Infra,high,yes,dmz-supplier
SRV-VEND-APP,10.10.0.24,a.mizrahi,IT-Infra,medium,yes,corp
SRV-FILE-HQ,10.10.0.15,h.peretz,IT-Infra,high,yes,corp
SRV-STAGE-01,10.10.0.61,m.saban,IT-Infra,medium,yes,corp
SRV-POSMGT,10.30.0.10,r.stern,Payments,critical,yes,pos-mgmt
SRV-CARDPROC,10.40.0.10,r.stern,Payments,critical,yes,pci
SRV-DC-01,10.10.0.5,a.mizrahi,IT-Infra,critical,yes,corp
WKS-IT-01,10.10.20.41,a.mizrahi,IT-Infra,medium,yes,corp
WKS-PAY-02,10.10.20.42,r.stern,Payments,medium,yes,corp
WKS-SEC-03,10.10.20.43,e.katz,IT-Security,medium,yes,corp
WKS-HQ-04,10.10.20.44,n.barzilai,Finance,medium,yes,corp
WKS-HQ-05,10.10.20.45,y.oren,Procurement,medium,yes,corp
WKS-HQ-06,10.10.20.46,g.shemesh,Management,medium,yes,corp
WKS-HQ-07,10.10.20.47,o.raviv,Finance,medium,yes,corp
WKS-IT-08,10.10.20.48,h.peretz,IT-Infra,medium,yes,corp
WKS-IT-09,10.10.20.49,m.saban,IT-Infra,medium,yes,corp
WKS-SEC-10,10.10.20.50,d.levi,IT-Security,medium,yes,corp
WKS-PAY-11,10.10.20.51,s.arbel,Payments,medium,yes,corp
WKS-PAY-12,10.10.20.52,t.hadar,Payments,medium,yes,corp
WKS-HQ-13,10.10.20.53,l.beit,Procurement,medium,yes,corp
WKS-HQ-14,10.10.20.54,r.avni,Procurement,medium,yes,corp
WKS-HQ-15,10.10.20.55,n.hazan,Finance,medium,yes,corp
WKS-HQ-16,10.10.20.56,e.shalom,Finance,medium,yes,corp
WKS-HQ-17,10.10.20.57,a.dahan,HR,medium,yes,corp
WKS-HQ-18,10.10.20.58,m.tal,HR,medium,yes,corp
WKS-HQ-19,10.10.20.59,y.segev,Logistics,medium,yes,corp
WKS-HQ-20,10.10.20.60,k.oz,Logistics,medium,yes,corp
WKS-HQ-21,10.10.20.61,b.naim,Logistics,medium,yes,corp
WKS-HQ-22,10.10.20.62,i.golan,Branch-Ops,medium,yes,corp
WKS-HQ-23,10.10.20.63,s.mor,Branch-Ops,medium,yes,corp
WKS-HQ-24,10.10.20.64,v.harel,Branch-Ops,medium,yes,corp
WKS-HQ-25,10.10.20.65,z.amar,Branch-Ops,medium,yes,corp
WKS-HQ-26,10.10.20.66,p.stein,Branch-Ops,medium,yes,corp
WKS-HQ-27,10.10.20.67,c.barak,Marketing,medium,yes,corp
WKS-HQ-28,10.10.20.68,u.regev,Marketing,medium,yes,corp
WKS-IT-29,10.10.20.69,f.zohar,IT-Infra,medium,yes,corp
WKS-PAY-30,10.10.20.70,g.ben-ari,Payments,medium,yes,corp
POS-B01-01,10.50.1.11,branch-B01,Branch-Ops,high,no,pos-branch
POS-B02-01,10.50.2.11,branch-B02,Branch-Ops,high,no,pos-branch
POS-B03-01,10.50.3.11,branch-B03,Branch-Ops,high,no,pos-branch
POS-B04-01,10.50.4.11,branch-B04,Branch-Ops,high,no,pos-branch
POS-B05-01,10.50.5.11,branch-B05,Branch-Ops,high,no,pos-branch
POS-B06-01,10.50.6.11,branch-B06,Branch-Ops,high,no,pos-branch
POS-B07-01,10.50.7.11,branch-B07,Branch-Ops,high,no,pos-branch
POS-B08-01,10.50.8.11,branch-B08,Branch-Ops,high,no,pos-branch
POS-B09-01,10.50.9.11,branch-B09,Branch-Ops,high,no,pos-branch
POS-B09-02,10.50.9.12,branch-B09,Branch-Ops,high,no,pos-branch
POS-B10-01,10.50.10.11,branch-B10,Branch-Ops,high,no,pos-branch
POS-B11-01,10.50.11.11,branch-B11,Branch-Ops,high,no,pos-branch
POS-B12-01,10.50.12.11,branch-B12,Branch-Ops,high,no,pos-branch
POS-B13-01,10.50.13.11,branch-B13,Branch-Ops,high,no,pos-branch
POS-B14-01,10.50.14.11,branch-B14,Branch-Ops,high,no,pos-branch
POS-B15-01,10.50.15.11,branch-B15,Branch-Ops,high,no,pos-branch
POS-B16-01,10.50.16.11,branch-B16,Branch-Ops,high,no,pos-branch
POS-B17-01,10.50.17.11,branch-B17,Branch-Ops,high,no,pos-branch
POS-B18-01,10.50.18.11,branch-B18,Branch-Ops,high,no,pos-branch
POS-B18-02,10.50.18.12,branch-B18,Branch-Ops,high,no,pos-branch
POS-B19-01,10.50.19.11,branch-B19,Branch-Ops,high,no,pos-branch
POS-B20-01,10.50.20.11,branch-B20,Branch-Ops,high,no,pos-branch
POS-B21-01,10.50.21.11,branch-B21,Branch-Ops,high,no,pos-branch
POS-B22-01,10.50.22.11,branch-B22,Branch-Ops,high,no,pos-branch
POS-B23-01,10.50.23.11,branch-B23,Branch-Ops,high,no,pos-branch
POS-B24-01,10.50.24.11,branch-B24,Branch-Ops,high,no,pos-branch
POS-B25-01,10.50.25.11,branch-B25,Branch-Ops,high,no,pos-branch
POS-B26-01,10.50.26.11,branch-B26,Branch-Ops,high,no,pos-branch
POS-B27-01,10.50.27.11,branch-B27,Branch-Ops,high,no,pos-branch
POS-B27-02,10.50.27.12,branch-B27,Branch-Ops,high,no,pos-branch
POS-B28-01,10.50.28.11,branch-B28,Branch-Ops,high,no,pos-branch
POS-B29-01,10.50.29.11,branch-B29,Branch-Ops,high,no,pos-branch
POS-B30-01,10.50.30.11,branch-B30,Branch-Ops,high,no,pos-branch
POS-B31-01,10.50.31.11,branch-B31,Branch-Ops,high,no,pos-branch
POS-B32-01,10.50.32.11,branch-B32,Branch-Ops,high,no,pos-branch
POS-B33-01,10.50.33.11,branch-B33,Branch-Ops,high,no,pos-branch
POS-B34-01,10.50.34.11,branch-B34,Branch-Ops,high,no,pos-branch
POS-B35-01,10.50.35.11,branch-B35,Branch-Ops,high,no,pos-branch
POS-B36-01,10.50.36.11,branch-B36,Branch-Ops,high,no,pos-branch
POS-B36-02,10.50.36.12,branch-B36,Branch-Ops,high,no,pos-branch
POS-B37-01,10.50.37.11,branch-B37,Branch-Ops,high,no,pos-branch
POS-B38-01,10.50.38.11,branch-B38,Branch-Ops,high,no,pos-branch

