_time,actor,operation,target_object,link_scope,link_expiry,bytes_out,src_ip
2026-05-24 06:18:58,a.mizrahi,view,/Logistics/routes.xlsx,,,40767,212.199.44.8
2026-05-24 06:31:54,y.oren,download,/HR/headcount.xlsx,,,1283162,212.199.44.8
2026-05-24 07:03:30,l.beit,view,/Branches/planogram-aug.pdf,,,179445,212.199.44.8
2026-05-24 07:22:15,c.barak,view,/HR/headcount.xlsx,,,867473,212.199.44.8
2026-05-24 08:11:38,n.hazan,view,/HR/headcount.xlsx,,,198133,212.199.44.8
2026-05-24 09:39:04,u.regev,download,/Branches/planogram-aug.pdf,,,29939,212.199.44.8
2026-05-24 10:33:30,l.beit,view,/Branches/planogram-aug.pdf,,,216997,212.199.44.8
2026-05-24 12:16:03,y.segev,view,/Finance/close-2026-07.xlsx,,,243161,212.199.44.8
2026-05-24 13:03:18,c.barak,share_link_create,/Finance/close-2026-07.xlsx,internal,2026-06-23,,212.199.44.8
2026-05-25 05:44:32,l.beit,upload,/Logistics/routes.xlsx,,,145827,212.199.44.8
2026-05-25 07:14:30,c.barak,download,/Logistics/routes.xlsx,,,8723,212.199.44.8
2026-05-25 07:51:49,c.barak,share_link_create,/Logistics/routes.xlsx,internal,2026-06-08,,212.199.44.8
2026-05-25 08:24:21,a.mizrahi,view,/HR/headcount.xlsx,,,354668,212.199.44.8
2026-05-25 09:06:43,u.regev,download,/Marketing/campaign-q3.pptx,,,669398,212.199.44.8
2026-05-25 09:46:39,y.segev,share_link_create,/Logistics/routes.xlsx,internal,2026-06-01,,212.199.44.8
2026-05-25 10:56:52,r.stern,download,/Logistics/routes.xlsx,,,6666076,212.199.44.8
2026-05-25 11:52:53,y.segev,upload,/Logistics/routes.xlsx,,,1587002,212.199.44.8
2026-05-25 13:12:31,n.hazan,upload,/Finance/close-2026-07.xlsx,,,51648,212.199.44.8
2026-05-26 06:11:31,y.segev,upload,/HR/headcount.xlsx,,,3716663,212.199.44.8
2026-05-26 06:13:24,c.barak,view,/Branches/planogram-aug.pdf,,,97475,212.199.44.8
2026-05-26 07:23:22,c.barak,view,/Marketing/campaign-q3.pptx,,,1079983,212.199.44.8
2026-05-26 08:23:09,r.stern,view,/HR/headcount.xlsx,,,1216150,212.199.44.8
2026-05-26 09:00:05,l.beit,download,/Branches/planogram-aug.pdf,,,81855,212.199.44.8
2026-05-26 09:02:44,a.mizrahi,view,/Branches/planogram-aug.pdf,,,1047011,212.199.44.8
2026-05-26 09:34:18,a.mizrahi,download,/Finance/close-2026-07.xlsx,,,661382,212.199.44.8
2026-05-26 09:44:14,u.regev,upload,/Branches/planogram-aug.pdf,,,170955,212.199.44.8
2026-05-26 10:09:23,n.hazan,view,/Logistics/routes.xlsx,,,1132219,212.199.44.8
2026-05-26 10:37:46,n.hazan,view,/Procurement/vendor-list.xlsx,,,388438,212.199.44.8
2026-05-26 10:55:25,y.oren,upload,/Finance/close-2026-07.xlsx,,,821863,212.199.44.8
2026-05-26 12:57:32,l.beit,download,/Procurement/vendor-list.xlsx,,,21413,212.199.44.8
2026-05-27 06:19:27,r.stern,view,/Logistics/routes.xlsx,,,28083,212.199.44.8
2026-05-27 07:57:41,c.barak,upload,/Procurement/vendor-list.xlsx,,,674546,212.199.44.8
2026-05-27 08:27:41,c.barak,share_link_create,/Branches/planogram-aug.pdf,internal,2026-06-03,,212.199.44.8
2026-05-27 08:27:53,a.mizrahi,share_link_create,/Finance/close-2026-07.xlsx,internal,2026-06-03,,212.199.44.8
2026-05-27 09:23:48,n.hazan,view,/Finance/close-2026-07.xlsx,,,225636,212.199.44.8
2026-05-27 09:25:51,u.regev,upload,/Procurement/vendor-list.xlsx,,,229084,212.199.44.8
2026-05-27 09:45:57,a.mizrahi,upload,/Logistics/routes.xlsx,,,100236,212.199.44.8
2026-05-27 09:53:00,l.beit,upload,/Procurement/vendor-list.xlsx,,,133419,212.199.44.8
2026-05-27 11:39:12,l.beit,download,/Procurement/vendor-list.xlsx,,,1158926,212.199.44.8
2026-05-27 11:53:23,y.segev,view,/Finance/close-2026-07.xlsx,,,89286,212.199.44.8
2026-05-27 13:00:38,y.oren,view,/Procurement/vendor-list.xlsx,,,284461,212.199.44.8
2026-05-28 06:01:41,u.regev,view,/Procurement/vendor-list.xlsx,,,314017,212.199.44.8
2026-05-28 06:41:45,a.mizrahi,upload,/Logistics/routes.xlsx,,,312383,212.199.44.8
