_time,actor,object_path,action,bytes_out,src_host,server
2026-05-23 01:02:22,svc_pricefeed,\\POS-B01-01\prices\price-2026-05-23-0.dat,write,40000,SRV-POSMGT,POS-B01-01
2026-05-23 01:03:34,svc_pricefeed,\\POS-B01-01\prices\price-2026-05-23-1.dat,write,40900,SRV-POSMGT,POS-B01-01
2026-05-23 01:04:44,svc_pricefeed,\\POS-B02-01\prices\price-2026-05-23-0.dat,write,40000,SRV-POSMGT,POS-B02-01
2026-05-23 01:04:46,svc_pricefeed,\\POS-B01-01\prices\price-2026-05-23-2.dat,write,41800,SRV-POSMGT,POS-B01-01
2026-05-23 01:05:56,svc_pricefeed,\\POS-B02-01\prices\price-2026-05-23-1.dat,write,40900,SRV-POSMGT,POS-B02-01
2026-05-23 01:05:58,svc_pricefeed,\\POS-B01-01\prices\price-2026-05-23-3.dat,write,42700,SRV-POSMGT,POS-B01-01
2026-05-23 01:07:06,svc_pricefeed,\\POS-B03-01\prices\price-2026-05-23-0.dat,write,40000,SRV-POSMGT,POS-B03-01
2026-05-23 01:07:08,svc_pricefeed,\\POS-B02-01\prices\price-2026-05-23-2.dat,write,41800,SRV-POSMGT,POS-B02-01
2026-05-23 01:07:10,svc_pricefeed,\\POS-B01-01\prices\price-2026-05-23-4.dat,write,43600,SRV-POSMGT,POS-B01-01
2026-05-23 01:08:18,svc_pricefeed,\\POS-B03-01\prices\price-2026-05-23-1.dat,write,40900,SRV-POSMGT,POS-B03-01
2026-05-23 01:08:20,svc_pricefeed,\\POS-B02-01\prices\price-2026-05-23-3.dat,write,42700,SRV-POSMGT,POS-B02-01
2026-05-23 01:08:22,svc_pricefeed,\\POS-B01-01\prices\price-2026-05-23-5.dat,write,44500,SRV-POSMGT,POS-B01-01
2026-05-23 01:09:28,svc_pricefeed,\\POS-B04-01\prices\price-2026-05-23-0.dat,write,40000,SRV-POSMGT,POS-B04-01
2026-05-23 01:09:30,svc_pricefeed,\\POS-B03-01\prices\price-2026-05-23-2.dat,write,41800,SRV-POSMGT,POS-B03-01
2026-05-23 01:09:32,svc_pricefeed,\\POS-B02-01\prices\price-2026-05-23-4.dat,write,43600,SRV-POSMGT,POS-B02-01
2026-05-23 01:09:34,svc_pricefeed,\\POS-B01-01\prices\price-2026-05-23-6.dat,write,45400,SRV-POSMGT,POS-B01-01
2026-05-23 01:10:40,svc_pricefeed,\\POS-B04-01\prices\price-2026-05-23-1.dat,write,40900,SRV-POSMGT,POS-B04-01
