_time,src_host,dest_host,user_agent,method,bytes_out,verdict
2026-05-23 11:08:27,WKS-HQ-18,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,8512,allowed
2026-05-23 12:54:21,WKS-PAY-30,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,4028,allowed
2026-05-24 05:25:33,WKS-HQ-26,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,62619,allowed
2026-05-24 05:29:53,WKS-HQ-26,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,13727,allowed
2026-05-24 05:34:29,WKS-HQ-22,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,16276,allowed
2026-05-24 05:46:15,WKS-PAY-02,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,999,allowed
2026-05-24 05:48:09,WKS-HQ-22,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,11314,allowed
2026-05-24 05:56:47,WKS-HQ-22,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,CONNECT,2555,allowed
2026-05-24 06:06:03,WKS-IT-29,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,CONNECT,1718,allowed
2026-05-24 06:16:29,WKS-HQ-21,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,2628,blocked
2026-05-24 06:17:00,WKS-HQ-16,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,1601,allowed
2026-05-24 06:29:16,WKS-IT-09,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,6940,allowed
2026-05-24 06:40:33,WKS-SEC-10,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,21605,allowed
2026-05-24 06:46:39,WKS-IT-29,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,1721,allowed
2026-05-24 06:52:46,WKS-IT-08,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,2329,allowed
2026-05-24 06:54:46,WKS-IT-08,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,CONNECT,37197,allowed
2026-05-24 07:00:58,WKS-PAY-02,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,224274,allowed
2026-05-24 07:04:34,WKS-HQ-28,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,CONNECT,3594,allowed
2026-05-24 07:07:55,WKS-SEC-03,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,33496,allowed
2026-05-24 07:20:36,WKS-HQ-26,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,83436,allowed
2026-05-24 07:25:54,WKS-HQ-06,outlook.office365.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,5277,allowed
2026-05-24 07:26:20,WKS-HQ-04,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,1667,allowed
2026-05-24 07:32:18,WKS-IT-09,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,9900,allowed
