_time,user,src_ip,src_country,result,mfa,session_min
2026-05-23 16:38:22,n.hazan,77.120.74.119,IL,success,push,142
2026-05-24 15:30:59,n.hazan,77.126.108.172,IL,success,push,119
2026-05-24 15:31:57,i.golan,77.121.226.29,IL,success,push,81
2026-05-24 16:09:13,m.saban,77.128.13.159,IL,success,push,21
2026-05-24 16:41:39,h.peretz,77.122.35.238,IL,success,totp,124
2026-05-24 16:52:26,s.arbel,77.134.251.89,IL,success,push,88
2026-05-24 18:42:21,a.mizrahi,77.133.61.28,IL,success,push,25
2026-05-24 19:42:50,f.zohar,77.136.4.54,IL,success,totp,137
2026-05-25 15:43:23,n.hazan,77.137.101.119,IL,success,totp,121
2026-05-25 15:47:54,s.arbel,77.128.63.153,IL,success,push,75
2026-05-25 16:01:35,h.peretz,77.124.127.76,IL,success,push,91
2026-05-25 16:32:33,f.zohar,77.137.207.55,IL,success,push,150
2026-05-25 16:39:17,m.saban,77.126.151.235,IL,success,totp,130
2026-05-25 16:55:21,a.mizrahi,77.136.60.192,IL,success,totp,114
2026-05-25 18:24:46,i.golan,77.128.32.100,IL,success,totp,106
2026-05-26 16:05:48,s.arbel,77.123.23.16,IL,success,totp,76
2026-05-26 16:06:24,a.mizrahi,77.125.243.158,IL,success,push,72
2026-05-26 16:35:59,i.golan,77.136.29.7,IL,success,push,164
2026-05-26 16:52:36,n.hazan,77.123.214.37,IL,success,totp,114
2026-05-26 17:26:29,f.zohar,77.139.86.132,IL,success,totp,59
2026-05-26 17:36:20,m.saban,77.134.75.199,IL,success,totp,81
2026-05-26 18:39:36,h.peretz,77.126.164.148,IL,failure,totp,0
2026-05-26 18:43:36,h.peretz,77.139.192.248,IL,success,totp,18
2026-05-27 16:48:45,f.zohar,77.123.185.121,IL,success,totp,91
2026-05-27 18:12:05,m.saban,77.127.79.216,IL,success,totp,103
2026-05-27 18:40:55,i.golan,77.132.200.225,IL,success,totp,21
2026-05-27 18:46:30,n.hazan,77.137.10.87,IL,success,totp,113
2026-05-27 19:27:46,a.mizrahi,77.125.53.178,IL,success,push,96
2026-05-27 19:48:13,s.arbel,77.122.36.101,IL,success,push,18
2026-05-27 19:57:14,h.peretz,77.137.235.116,IL,success,totp,90
2026-05-28 15:43:42,n.hazan,77.127.202.75,IL,success,totp,157
2026-05-28 16:55:08,f.zohar,77.132.209.126,IL,failure,push,0
2026-05-28 16:59:08,f.zohar,77.131.221.110,IL,success,totp,102
2026-05-28 17:41:44,s.arbel,77.122.22.229,IL,success,push,165
2026-05-28 17:42:52,a.mizrahi,77.127.189.224,IL,success,push,149
2026-05-28 18:06:22,h.peretz,77.125.113.236,IL,success,totp,163
