_time,src_ip,host,uri_path,method,status,bytes_out,user_agent
2026-05-23 04:19:28,77.135.183.66,WEB-SUPPLIER,/supplier/profile,GET,200,3656,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0
2026-05-23 05:19:07,77.135.108.225,WEB-SUPPLIER,/supplier/docs,GET,200,6464,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0
2026-05-23 05:35:30,77.128.185.100,WEB-SUPPLIER,/favicon.ico,POST,200,565,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0
2026-05-23 06:24:49,77.136.254.6,WEB-SUPPLIER,/favicon.ico,GET,200,11100,Mozilla/5.0 (X11; Linux x86_64) Firefox/128.0
2026-05-23 07:12:43,77.128.161.224,WEB-SUPPLIER,/supplier/api/v2/inventory,GET,200,11134,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0
2026-05-23 07:17:14,77.130.62.120,WEB-SUPPLIER,/static/app.css,POST,200,908,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0
2026-05-23 07:51:10,77.139.255.188,WEB-SUPPLIER,/static/app.js,GET,200,3763,Mozilla/5.0 (X11; Linux x86_64) Firefox/128.0
2026-05-23 07:54:45,77.123.87.214,WEB-SUPPLIER,/static/app.js,GET,200,5148,Mozilla/5.0 (X11; Linux x86_64) Firefox/128.0
2026-05-23 08:08:18,77.128.203.232,WEB-SUPPLIER,/supplier/docs,GET,200,4869,Mozilla/5.0 (X11; Linux x86_64) Firefox/128.0
2026-05-23 08:14:59,77.132.114.7,WEB-SUPPLIER,/static/app.js,GET,200,5491,Mozilla/5.0 (X11; Linux x86_64) Firefox/128.0
2026-05-23 08:21:12,77.126.75.171,WEB-SUPPLIER,/supplier/orders,GET,200,17813,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5
2026-05-23 09:11:02,77.126.58.193,WEB-SUPPLIER,/favicon.ico,POST,200,8864,Mozilla/5.0 (X11; Linux x86_64) Firefox/128.0
2026-05-23 09:27:00,77.137.39.196,WEB-SUPPLIER,/supplier/docs,GET,200,1733,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0
2026-05-23 09:30:30,77.137.197.216,WEB-SUPPLIER,/supplier/login,GET,403,22172,Mozilla/5.0 (X11; Linux x86_64) Firefox/128.0
2026-05-23 09:40:12,77.134.87.174,WEB-SUPPLIER,/static/app.css,POST,200,5901,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5
2026-05-23 09:43:50,77.121.235.197,WEB-SUPPLIER,/static/app.css,POST,200,3114,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5
2026-05-23 11:31:50,77.138.9.200,WEB-SUPPLIER,/static/app.css,GET,200,386,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0
2026-05-23 11:36:17,77.124.6.22,WEB-SUPPLIER,/supplier/api/v2/inventory,GET,200,1442,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5
2026-05-23 11:39:54,77.139.227.3,WEB-SUPPLIER,/supplier/login,GET,200,13710,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0
