_time,EventCode,host,actor,logon_type,src_host,target_account,process,cmdline,object_name
2026-05-24 06:48:26,4624,WKS-HQ-25,z.amar,2,WKS-HQ-25,,,,
2026-05-24 07:24:48,4624,WKS-HQ-23,s.mor,2,WKS-HQ-23,,,,
2026-05-24 07:36:31,4624,WKS-HQ-26,p.stein,2,WKS-HQ-26,,,,
2026-05-24 07:46:48,4624,WKS-SEC-03,e.katz,2,WKS-SEC-03,,,,
2026-05-24 07:49:01,4624,WKS-HQ-22,i.golan,2,WKS-HQ-22,,,,
2026-05-24 07:51:17,4624,WKS-HQ-24,v.harel,2,WKS-HQ-24,,,,
2026-05-24 07:52:47,4624,WKS-PAY-11,s.arbel,2,WKS-PAY-11,,,,
2026-05-24 08:04:01,4624,SRV-FILE-HQ,i.golan,3,WKS-HQ-22,,,,
2026-05-24 08:07:26,4624,WKS-IT-01,a.mizrahi,2,WKS-IT-01,,,,
2026-05-24 08:07:27,4672,WKS-IT-01,a.mizrahi,2,,,,,
2026-05-24 08:09:49,4624,WKS-PAY-30,g.ben-ari,2,WKS-PAY-30,,,,
2026-05-24 08:10:39,4624,WKS-PAY-02,r.stern,2,WKS-PAY-02,,,,
2026-05-24 08:14:10,4624,WKS-HQ-20,k.oz,2,WKS-HQ-20,,,,
2026-05-24 08:19:49,4769,SRV-DC-01,g.ben-ari,,WKS-PAY-30,cifs_svc,,,CIFS/srv-file-hq.northgate.local
2026-05-24 08:22:31,4624,WKS-HQ-18,m.tal,2,WKS-HQ-18,,,,
2026-05-24 08:24:42,4624,WKS-HQ-19,y.segev,2,WKS-HQ-19,,,,
2026-05-24 08:25:48,4624,SRV-POSMGT,s.mor,3,WKS-HQ-23,,,,
2026-05-24 08:25:50,5140,SRV-POSMGT,s.mor,3,WKS-HQ-23,,,,\\SRV-POSMGT\Branches
2026-05-24 08:26:33,4624,WKS-HQ-16,e.shalom,2,WKS-HQ-16,,,,
2026-05-24 08:28:29,4624,WKS-IT-08,h.peretz,2,WKS-IT-08,,,,
2026-05-24 08:30:32,4624,WKS-PAY-12,t.hadar,2,WKS-PAY-12,,,,
2026-05-24 08:31:26,4624,SRV-FILE-HQ,a.mizrahi,3,WKS-IT-01,,,,
2026-05-24 08:31:32,4624,WKS-HQ-14,r.avni,2,WKS-HQ-14,,,,
2026-05-24 08:32:37,4624,WKS-HQ-13,l.beit,2,WKS-HQ-13,,,,
2026-05-24 08:37:35,4624,WKS-IT-29,f.zohar,2,WKS-IT-29,,,,
2026-05-24 08:43:15,4624,WKS-IT-09,m.saban,2,WKS-IT-09,,,,
2026-05-24 08:45:03,4624,WKS-HQ-04,n.barzilai,2,WKS-HQ-04,,,,
2026-05-24 08:45:57,4624,WKS-HQ-15,n.hazan,2,WKS-HQ-15,,,,
2026-05-24 08:47:05,4624,WKS-HQ-21,b.naim,2,WKS-HQ-21,,,,
2026-05-24 08:47:37,4769,SRV-DC-01,l.beit,,WKS-HQ-13,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 08:51:17,4624,WKS-HQ-27,c.barak,2,WKS-HQ-27,,,,
2026-05-24 08:52:01,4624,SRV-POSMGT,i.golan,3,WKS-HQ-22,,,,
2026-05-24 08:53:37,4624,WKS-HQ-17,a.dahan,2,WKS-HQ-17,,,,
2026-05-24 08:54:17,4624,WKS-HQ-05,y.oren,2,WKS-HQ-05,,,,
2026-05-24 08:56:10,4624,WKS-SEC-10,d.levi,2,WKS-SEC-10,,,,
2026-05-24 08:56:19,4624,WKS-HQ-28,u.regev,2,WKS-HQ-28,,,,
2026-05-24 08:58:33,4624,WKS-HQ-06,g.shemesh,2,WKS-HQ-06,,,,
2026-05-24 09:01:32,4688,WKS-HQ-14,r.avni,,,,excel.exe,excel.exe /dde,
2026-05-24 09:08:17,4624,SRV-FILE-HQ,y.oren,3,WKS-HQ-05,,,,
2026-05-24 09:08:19,4624,SRV-FILE-HQ,u.regev,3,WKS-HQ-28,,,,
2026-05-24 09:15:10,4624,SRV-DC-01,d.levi,3,WKS-SEC-10,,,,
2026-05-24 09:16:10,4624,SRV-FILE-HQ,k.oz,3,WKS-HQ-20,,,,
2026-05-24 09:25:37,4624,SRV-FILE-HQ,a.dahan,3,WKS-HQ-17,,,,
2026-05-24 09:25:39,5140,SRV-FILE-HQ,a.dahan,3,WKS-HQ-17,,,,\\SRV-FILE-HQ\HR
2026-05-24 09:27:03,4624,SRV-FILE-HQ,n.barzilai,3,WKS-HQ-04,,,,
2026-05-24 09:27:05,5140,SRV-FILE-HQ,n.barzilai,3,WKS-HQ-04,,,,\\SRV-FILE-HQ\Finance
2026-05-24 09:36:19,4624,SRV-FILE-HQ,u.regev,3,WKS-HQ-28,,,,
2026-05-24 09:36:21,5140,SRV-FILE-HQ,u.regev,3,WKS-HQ-28,,,,\\SRV-FILE-HQ\Marketing
2026-05-24 09:36:42,4769,SRV-DC-01,y.segev,,WKS-HQ-19,mssqlsvc_svc,,,MSSQLSvc/srv-cardproc.northgate.local:1433
2026-05-24 09:46:37,4769,SRV-DC-01,a.dahan,,WKS-HQ-17,cifs_svc,,,CIFS/srv-file-hq.northgate.local
2026-05-24 09:58:48,4769,SRV-DC-01,e.katz,,WKS-SEC-03,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 10:01:26,4769,SRV-DC-01,a.mizrahi,,WKS-IT-01,mssqlsvc_svc,,,MSSQLSvc/srv-cardproc.northgate.local:1433
2026-05-24 10:04:57,4769,SRV-DC-01,n.hazan,,WKS-HQ-15,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 10:12:26,4769,SRV-DC-01,a.mizrahi,,WKS-IT-01,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 10:12:42,4624,SRV-FILE-HQ,y.segev,3,WKS-HQ-19,,,,
2026-05-24 10:15:19,4624,SRV-FILE-HQ,u.regev,3,WKS-HQ-28,,,,
2026-05-24 10:15:31,4624,SRV-FILE-HQ,m.tal,3,WKS-HQ-18,,,,
